title,author,rating,genres,pages,ratings_count
The Battle of the Labyrinth,"Rick Riordan, Rick Riordan",4.42,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology, Urban Fantasy, Childrens, Audiobook",361,1174023
The Secret History,"Donna Tartt, Donna Tartt",4.16,"Fiction, Dark Academia, Mystery, Classics, Contemporary, Thriller, Literary Fiction, Book Club, Mystery Thriller, Adult",559,920820
Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman, Kjell Risvik, Gabriel García Márquez",3.94,"Fiction, Historical Fiction, Magical Realism, Literature, Book Club, Novels, Spanish Literature, Literary Fiction, Historical, Latin American",348,530905
The Sea of Monsters,"Rick Riordan, Rick Riordan",4.24,"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology, Childrens, Audiobook, Urban Fantasy",279,1299099
The Thorn Birds,"Colleen McCullough, Colleen McCullough",4.25,"Fiction, Historical Fiction, Romance, Classics, Historical, Historical Romance, Drama, Novels, Book Club, Adult",692,359353
How the Grinch Stole Christmas!,"Dr. Seuss, Dr. Seuss",4.38,"Childrens, Picture Books, Christmas, Classics, Fiction, Poetry, Fantasy, Holiday, Humor, Kids",64,436009
The Ultimate Hitchhiker’s Guide to the Galaxy,"Douglas Adams, Douglas Adams",4.38,"Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy, Adventure, Novels, Space",815,333159
The Compleat Works of Wllm Shkspr,"Reduced Shakespeare Company, Daniel Singer, Jess Winfield, Reduced Shakespeare Company",4.43,"Plays, Classics, Humor, Drama, Fiction, Theatre, Comedy, Poetry, Literature, Adult",137,9711
Their Eyes Were Watching God,"Zora Neale Hurston, Zora Neale Hurston",3.99,"Classics, Fiction, Historical Fiction, School, Book Club, Literature, African American, Feminism, Historical, Novels",238,372829
The Importance of Being Earnest,"Oscar Wilde, Oscar Wilde",4.17,"Classics, Plays, Fiction, Humor, School, Theatre, Literature, Comedy, Romance, 19th Century",89,394374
The Wonderful Wizard of Oz,"L. Frank Baum, W.W. Denslow, L. Frank Baum",4.0,"Classics, Fantasy, Fiction, Childrens, Young Adult, Audiobook, Adventure, Middle Grade, Magic, Literature",154,493940
Atonement,"Ian McEwan, Ian McEwan",3.95,"Fiction, Historical Fiction, Classics, Romance, Historical, Book Club, War, Literary Fiction, Contemporary, Literature",351,546352
,,,,,
"Eat, Pray, Love","Elizabeth Gilbert, Elizabeth Gilbert",3.64,"Nonfiction, Memoir, Travel, Book Club, Biography, Romance, Chick Lit, Spirituality, Biography Memoir, Contemporary",368,1809941
The Lorax,"Dr. Seuss, Dr. Seuss",4.35,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Environment, Banned Books, Young Adult, Kids",72,360862
